YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2020-01,WEEKDAY,11,TRAIN,NS7,15357,12690
2020-01,WEEKENDS/HOLIDAY,11,TRAIN,NS7,9137,14258
2020-01,WEEKDAY,16,TRAIN,SW4,908,1721
2020-01,WEEKENDS/HOLIDAY,16,TRAIN,SW4,604,693
2020-01,WEEKENDS/HOLIDAY,10,TRAIN,CC5,1330,1577
2020-01,WEEKDAY,10,TRAIN,CC5,2858,4684
2020-01,WEEKENDS/HOLIDAY,13,TRAIN,CC23,1539,1725
2020-01,WEEKDAY,13,TRAIN,CC23,14921,16394
2020-01,WEEKENDS/HOLIDAY,22,TRAIN,EW33,1029,2893
2020-01,WEEKDAY,22,TRAIN,EW33,1449,2562
2020-01,WEEKENDS/HOLIDAY,14,TRAIN,CC21,4188,4359
2020-01,WEEKDAY,14,TRAIN,CC21,9465,9316
2020-01,WEEKENDS/HOLIDAY,18,TRAIN,EW24-NS1,55202,59141
2020-01,WEEKDAY,18,TRAIN,EW24-NS1,239266,198338
2020-01,WEEKENDS/HOLIDAY,7,TRAIN,NE10,3073,2809
2020-01,WEEKDAY,7,TRAIN,NE10,26740,31876
2020-01,WEEKDAY,8,TRAIN,EW22,15617,68185
2020-01,WEEKENDS/HOLIDAY,8,TRAIN,EW22,1832,2561
2020-01,WEEKDAY,14,TRAIN,CC16,8797,8080
2020-01,WEEKENDS/HOLIDAY,14,TRAIN,CC16,3795,3132
2020-01,WEEKDAY,10,TRAIN,EW11,23879,21614
2020-01,WEEKENDS/HOLIDAY,10,TRAIN,EW11,10677,7838
2020-01,WEEKENDS/HOLIDAY,6,TRAIN,CC1-NE6-NS24,1345,2264
2020-01,WEEKDAY,6,TRAIN,CC1-NE6-NS24,3787,10168
2020-01,WEEKDAY,0,TRAIN,EW19,89,579
2020-01,WEEKENDS/HOLIDAY,0,TRAIN,EW19,22,243
2020-01,WEEKDAY,10,TRAIN,EW21,5146,7152
2020-01,WEEKENDS/HOLIDAY,10,TRAIN,CC22,3396,3648
2020-01,WEEKDAY,10,TRAIN,CC22,7365,12483
2020-01,WEEKENDS/HOLIDAY,10,TRAIN,EW21,3483,4019
2020-01,WEEKDAY,8,TRAIN,CC8,22285,8535
2020-01,WEEKENDS/HOLIDAY,8,TRAIN,CC8,2386,1729
2020-01,WEEKENDS/HOLIDAY,17,TRAIN,NE7,19197,22905
