YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2020-06,WEEKENDS/HOLIDAY,14,TRAIN,CC16,996,996
2020-06,WEEKDAY,14,TRAIN,CC16,7130,3693
2020-06,WEEKDAY,10,TRAIN,EW11,8680,10341
2020-06,WEEKENDS/HOLIDAY,10,TRAIN,EW11,2676,2750
2020-06,WEEKENDS/HOLIDAY,6,TRAIN,NS24/NE6/CC1,625,1176
2020-06,WEEKDAY,6,TRAIN,NS24/NE6/CC1,2778,6045
2020-06,WEEKDAY,0,TRAIN,EW19,12,63
2020-06,WEEKENDS/HOLIDAY,0,TRAIN,EW19,5,25
2020-06,WEEKDAY,10,TRAIN,CC22/EW21,5232,8148
2020-06,WEEKENDS/HOLIDAY,10,TRAIN,CC22/EW21,1741,2410
2020-06,WEEKDAY,8,TRAIN,CC8,4881,3738
2020-06,WEEKENDS/HOLIDAY,8,TRAIN,CC8,822,739
2020-06,WEEKENDS/HOLIDAY,17,TRAIN,NE7/DT12,4443,4572
2020-06,WEEKDAY,17,TRAIN,NE7/DT12,20663,12196
2020-06,WEEKENDS/HOLIDAY,17,TRAIN,EW33,593,175
2020-06,WEEKDAY,17,TRAIN,EW33,6356,401
2020-06,WEEKDAY,22,TRAIN,NS28,788,90
2020-06,WEEKENDS/HOLIDAY,22,TRAIN,NS28,329,46
2020-06,WEEKENDS/HOLIDAY,0,TRAIN,DT10,3,3
2020-06,WEEKDAY,0,TRAIN,DT10,1,11
2020-06,WEEKDAY,10,TRAIN,EW16/NE3,11408,16878
2020-06,WEEKENDS/HOLIDAY,10,TRAIN,EW16/NE3,2320,2876
2020-06,WEEKDAY,9,TRAIN,CC14,3416,2077
2020-06,WEEKENDS/HOLIDAY,9,TRAIN,CC14,891,369
2020-06,WEEKENDS/HOLIDAY,14,TRAIN,EW27,8251,8840
2020-06,WEEKDAY,14,TRAIN,EW27,20245,26673
2020-06,WEEKDAY,0,TRAIN,NS27/CE2,6,39
2020-06,WEEKENDS/HOLIDAY,0,TRAIN,NS27/CE2,0,9
2020-06,WEEKENDS/HOLIDAY,18,TRAIN,DT27,978,807
2020-06,WEEKDAY,18,TRAIN,DT27,13738,5084
2020-06,WEEKENDS/HOLIDAY,11,TRAIN,NS7,624,563
2020-06,WEEKDAY,11,TRAIN,NS7,1386,1195
2020-06,WEEKENDS/HOLIDAY,16,TRAIN,SW4,186,237
2020-06,WEEKDAY,16,TRAIN,SW4,667,891
2020-06,WEEKENDS/HOLIDAY,10,TRAIN,CC5,329,599
2020-06,WEEKDAY,10,TRAIN,CC5,711,1928
2020-06,WEEKDAY,13,TRAIN,CC23,3712,4135
2020-06,WEEKENDS/HOLIDAY,13,TRAIN,CC23,523,598
2020-06,WEEKENDS/HOLIDAY,22,TRAIN,EW33,110,104
2020-06,WEEKDAY,22,TRAIN,EW33,526,346
2020-06,WEEKDAY,14,TRAIN,CC21,3648,4464
2020-06,WEEKENDS/HOLIDAY,14,TRAIN,CC21,1416,1577
2020-06,WEEKENDS/HOLIDAY,18,TRAIN,EW24/NS1,16473,16167
2020-06,WEEKDAY,18,TRAIN,EW24/NS1,100813,62963
2020-06,WEEKDAY,7,TRAIN,NE10,11829,20579
2020-06,WEEKENDS/HOLIDAY,7,TRAIN,NE10,1426,1373
2020-06,WEEKDAY,8,TRAIN,EW22,4052,9454
2020-06,WEEKENDS/HOLIDAY,8,TRAIN,EW22,579,532
2020-06,WEEKENDS/HOLIDAY,7,TRAIN,BP10,678,405
2020-06,WEEKDAY,7,TRAIN,BP10,7097,2710
2020-06,WEEKDAY,15,TRAIN,NE10,9391,8099
2020-06,WEEKENDS/HOLIDAY,15,TRAIN,NE10,2214,2275
2020-06,WEEKDAY,18,TRAIN,EW22,4498,5514
2020-06,WEEKENDS/HOLIDAY,18,TRAIN,EW22,617,817
2020-06,WEEKENDS/HOLIDAY,15,TRAIN,CC25,1056,592
2020-06,WEEKDAY,15,TRAIN,CC25,3333,2159
2020-06,WEEKENDS/HOLIDAY,12,TRAIN,CE1/DT16,597,1061
2020-06,WEEKDAY,12,TRAIN,CE1/DT16,1250,2150
2020-06,WEEKDAY,10,TRAIN,SW6,1892,941
2020-06,WEEKENDS/HOLIDAY,10,TRAIN,SW6,821,386
2020-06,WEEKENDS/HOLIDAY,17,TRAIN,DT31,1153,1492
2020-06,WEEKDAY,17,TRAIN,DT31,4233,8271
2020-06,WEEKDAY,15,TRAIN,CC14,7406,3858
2020-06,WEEKENDS/HOLIDAY,15,TRAIN,CC14,833,861
2020-06,WEEKENDS/HOLIDAY,0,TRAIN,NS8,126,392
2020-06,WEEKDAY,0,TRAIN,NS8,242,936
2020-06,WEEKDAY,18,TRAIN,NS14,20322,46851
2020-06,WEEKENDS/HOLIDAY,18,TRAIN,NS14,4625,5911
2020-06,WEEKDAY,12,TRAIN,EW17,12550,12878
2020-06,WEEKENDS/HOLIDAY,12,TRAIN,EW17,5194,5050
2020-06,WEEKDAY,17,TRAIN,DT21,4428,1557
2020-06,WEEKENDS/HOLIDAY,17,TRAIN,DT21,723,568
2020-06,WEEKDAY,19,TRAIN,NE12/CC13,11678,18905
2020-06,WEEKENDS/HOLIDAY,19,TRAIN,NE12/CC13,4297,4749
2020-06,WEEKDAY,6,TRAIN,EW31,446,6138
2020-06,WEEKENDS/HOLIDAY,6,TRAIN,EW31,199,773
2020-06,WEEKENDS/HOLIDAY,15,TRAIN,EW7,2516,2672
2020-06,WEEKDAY,15,TRAIN,EW7,6117,8660
