YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2020-07,WEEKDAY,11,TRAIN,NS7,1667,0
2020-07,WEEKENDS/HOLIDAY,11,TRAIN,NS7,1171,0
2020-07,WEEKENDS/HOLIDAY,16,TRAIN,SW4,426,0
2020-07,WEEKDAY,16,TRAIN,SW4,829,0
2020-07,WEEKDAY,10,TRAIN,CC5,1058,0
2020-07,WEEKENDS/HOLIDAY,10,TRAIN,CC5,579,0
2020-07,WEEKDAY,13,TRAIN,CC23,5495,0
2020-07,WEEKENDS/HOLIDAY,13,TRAIN,CC23,1012,0
2020-07,WEEKDAY,22,TRAIN,EW33,664,0
2020-07,WEEKENDS/HOLIDAY,22,TRAIN,EW33,194,0
2020-07,WEEKDAY,14,TRAIN,CC21,6788,0
2020-07,WEEKENDS/HOLIDAY,14,TRAIN,CC21,3492,0
2020-07,WEEKENDS/HOLIDAY,18,TRAIN,EW24/NS1,32979,0
2020-07,WEEKDAY,18,TRAIN,EW24/NS1,130081,0
2020-07,WEEKENDS/HOLIDAY,7,TRAIN,NE10,2496,0
2020-07,WEEKDAY,7,TRAIN,NE10,14123,0
2020-07,WEEKENDS/HOLIDAY,8,TRAIN,EW22,1139,0
2020-07,WEEKDAY,8,TRAIN,EW22,5360,0
2020-07,WEEKDAY,14,TRAIN,CC16,10074,0
2020-07,WEEKENDS/HOLIDAY,14,TRAIN,CC16,2194,0
2020-07,WEEKDAY,10,TRAIN,EW11,10834,0
2020-07,WEEKENDS/HOLIDAY,10,TRAIN,EW11,4231,0
2020-07,WEEKDAY,6,TRAIN,NS24/NE6/CC1,3003,0
2020-07,WEEKENDS/HOLIDAY,6,TRAIN,NS24/NE6/CC1,978,0
2020-07,WEEKENDS/HOLIDAY,0,TRAIN,EW19,7,0
2020-07,WEEKDAY,0,TRAIN,EW19,33,0
2020-07,WEEKDAY,10,TRAIN,CC22/EW21,7072,0
2020-07,WEEKENDS/HOLIDAY,10,TRAIN,CC22/EW21,3447,0
2020-07,WEEKDAY,8,TRAIN,CC8,7074,0
2020-07,WEEKENDS/HOLIDAY,8,TRAIN,CC8,1593,0
2020-07,WEEKDAY,17,TRAIN,NE7/DT12,24345,0
2020-07,WEEKENDS/HOLIDAY,17,TRAIN,NE7/DT12,9129,0
2020-07,WEEKDAY,17,TRAIN,EW33,6999,0
2020-07,WEEKENDS/HOLIDAY,17,TRAIN,EW33,775,0
2020-07,WEEKENDS/HOLIDAY,22,TRAIN,NS28,609,0
2020-07,WEEKDAY,22,TRAIN,NS28,1123,0
2020-07,WEEKENDS/HOLIDAY,0,TRAIN,DT10,4,0
2020-07,WEEKDAY,0,TRAIN,DT10,6,0
2020-07,WEEKDAY,10,TRAIN,EW16/NE3,14063,0
2020-07,WEEKENDS/HOLIDAY,10,TRAIN,EW16/NE3,4080,0
2020-07,WEEKDAY,9,TRAIN,CC14,4641,0
2020-07,WEEKENDS/HOLIDAY,9,TRAIN,CC14,1816,0
2020-07,WEEKDAY,14,TRAIN,EW27,26668,0
2020-07,WEEKENDS/HOLIDAY,14,TRAIN,EW27,15693,0
2020-07,WEEKDAY,0,TRAIN,NS27/CE2,8,0
2020-07,WEEKENDS/HOLIDAY,0,TRAIN,NS27/CE2,6,0
2020-07,WEEKDAY,18,TRAIN,DT27,17822,0
2020-07,WEEKENDS/HOLIDAY,18,TRAIN,DT27,1788,0
2020-07,WEEKENDS/HOLIDAY,7,TRAIN,BP10,971,0
2020-07,WEEKDAY,7,TRAIN,BP10,8496,0
2020-07,WEEKDAY,15,TRAIN,NE10,12333,0
2020-07,WEEKENDS/HOLIDAY,15,TRAIN,NE10,4005,0
2020-07,WEEKDAY,18,TRAIN,EW22,7597,0
2020-07,WEEKENDS/HOLIDAY,18,TRAIN,EW22,1306,0
2020-07,WEEKDAY,15,TRAIN,CC25,3799,0
2020-07,WEEKENDS/HOLIDAY,15,TRAIN,CC25,1818,0
2020-07,WEEKENDS/HOLIDAY,12,TRAIN,CE1/DT16,2514,0
2020-07,WEEKDAY,12,TRAIN,CE1/DT16,4278,0
2020-07,WEEKENDS/HOLIDAY,10,TRAIN,SW6,1386,0
2020-07,WEEKDAY,10,TRAIN,SW6,2656,0
2020-07,WEEKDAY,17,TRAIN,DT31,6130,0
2020-07,WEEKENDS/HOLIDAY,17,TRAIN,DT31,2364,0
2020-07,WEEKENDS/HOLIDAY,15,TRAIN,CC14,1363,0
2020-07,WEEKDAY,15,TRAIN,CC14,8863,0
2020-07,WEEKENDS/HOLIDAY,0,TRAIN,NS8,273,0
2020-07,WEEKDAY,0,TRAIN,NS8,417,0
2020-07,WEEKENDS/HOLIDAY,18,TRAIN,NS14,9111,0
2020-07,WEEKDAY,18,TRAIN,NS14,28667,0
2020-07,WEEKDAY,12,TRAIN,EW17,16542,0
2020-07,WEEKENDS/HOLIDAY,12,TRAIN,EW17,9924,0
2020-07,WEEKENDS/HOLIDAY,0,TRAIN,NE17/PTC,102,0
2020-07,WEEKDAY,0,TRAIN,NE17/PTC,144,0
2020-07,WEEKENDS/HOLIDAY,13,TRAIN,BP12,842,0
2020-07,WEEKDAY,13,TRAIN,BP12,3323,0
2020-07,WEEKDAY,14,TRAIN,NS17/CC15,16362,0
2020-07,WEEKENDS/HOLIDAY,14,TRAIN,NS17/CC15,5604,0
2020-07,WEEKENDS/HOLIDAY,16,TRAIN,CC10/DT26,4158,0
2020-07,WEEKDAY,16,TRAIN,CC10/DT26,10176,0
2020-07,WEEKENDS/HOLIDAY,6,TRAIN,DT28,1009,0
2020-07,WEEKDAY,6,TRAIN,DT28,7178,0
2020-07,WEEKENDS/HOLIDAY,5,TRAIN,DT7,15,0
2020-07,WEEKDAY,5,TRAIN,DT7,153,0
2020-07,WEEKDAY,11,TRAIN,PW5,1447,0
2020-07,WEEKENDS/HOLIDAY,11,TRAIN,PW5,852,0
2020-07,WEEKENDS/HOLIDAY,18,TRAIN,BP3,1427,0
2020-07,WEEKDAY,18,TRAIN,BP3,3343,0
2020-07,WEEKENDS/HOLIDAY,22,TRAIN,CC28,309,0
2020-07,WEEKDAY,22,TRAIN,CC28,567,0
2020-07,WEEKENDS/HOLIDAY,13,TRAIN,SW6,1255,0
2020-07,WEEKDAY,13,TRAIN,SW6,3236,0
2020-07,WEEKENDS/HOLIDAY,17,TRAIN,DT21,1597,0
2020-07,WEEKDAY,17,TRAIN,DT21,5755,0
