YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2020-04,WEEKDAY,12,TRAIN,EW17,8046,8560
2020-04,WEEKENDS/HOLIDAY,0,TRAIN,NE17-PTC,24,302
2020-04,WEEKDAY,0,TRAIN,NE17-PTC,82,578
2020-04,WEEKENDS/HOLIDAY,13,TRAIN,BP12,285,263
2020-04,WEEKDAY,13,TRAIN,BP12,1046,729
2020-04,WEEKDAY,14,TRAIN,CC15,9128,10369
2020-04,WEEKENDS/HOLIDAY,14,TRAIN,NS17,2072,898
2020-04,WEEKENDS/HOLIDAY,14,TRAIN,CC15,2889,3521
2020-04,WEEKDAY,14,TRAIN,NS17,6242,2911
2020-04,WEEKENDS/HOLIDAY,16,TRAIN,CC10,1124,1053
2020-04,WEEKDAY,16,TRAIN,CC10,4344,3230
2020-04,WEEKENDS/HOLIDAY,16,TRAIN,DT26,439,395
2020-04,WEEKDAY,16,TRAIN,DT26,1436,1525
2020-04,WEEKDAY,6,TRAIN,DT28,6182,3621
2020-04,WEEKENDS/HOLIDAY,6,TRAIN,DT28,1137,461
2020-04,WEEKENDS/HOLIDAY,5,TRAIN,DT7,7,5
2020-04,WEEKDAY,5,TRAIN,DT7,44,103
2020-04,WEEKENDS/HOLIDAY,11,TRAIN,PW5,355,270
2020-04,WEEKDAY,11,TRAIN,PW5,824,816
2020-04,WEEKDAY,18,TRAIN,BP3,1579,4746
2020-04,WEEKENDS/HOLIDAY,18,TRAIN,BP3,544,653
2020-04,WEEKDAY,22,TRAIN,CC28,267,820
2020-04,WEEKENDS/HOLIDAY,22,TRAIN,CC28,108,353
2020-04,WEEKENDS/HOLIDAY,13,TRAIN,SW6,474,454
2020-04,WEEKDAY,13,TRAIN,SW6,1529,1351
2020-04,WEEKENDS/HOLIDAY,17,TRAIN,NE12,3137,3437
2020-04,WEEKDAY,17,TRAIN,NE12,8902,12767
2020-04,WEEKDAY,17,TRAIN,CC13,8520,16696
2020-04,WEEKENDS/HOLIDAY,17,TRAIN,CC13,2882,3563
2020-04,WEEKDAY,8,TRAIN,NS21,11976,17044
2020-04,WEEKENDS/HOLIDAY,8,TRAIN,NS21,2176,2800
2020-04,WEEKENDS/HOLIDAY,8,TRAIN,DT11,2117,2221
2020-04,WEEKDAY,8,TRAIN,DT11,11716,14412
2020-04,WEEKENDS/HOLIDAY,0,TRAIN,NE16-STC,54,226
2020-04,WEEKDAY,0,TRAIN,NE16-STC,101,538
2020-04,WEEKDAY,17,TRAIN,DT21,2893,1145
2020-04,WEEKENDS/HOLIDAY,17,TRAIN,DT21,580,412
2020-04,WEEKDAY,19,TRAIN,CC13,7825,15550
2020-04,WEEKDAY,19,TRAIN,NE12,7630,12775
2020-04,WEEKENDS/HOLIDAY,19,TRAIN,CC13,2646,3170
2020-04,WEEKENDS/HOLIDAY,19,TRAIN,NE12,2749,3160
2020-04,WEEKDAY,6,TRAIN,EW31,834,5149
2020-04,WEEKENDS/HOLIDAY,6,TRAIN,EW31,378,888
2020-04,WEEKENDS/HOLIDAY,15,TRAIN,EW7,1720,2007
2020-04,WEEKDAY,15,TRAIN,EW7,4078,5918
2020-04,WEEKDAY,23,TRAIN,CC23,443,85
2020-04,WEEKENDS/HOLIDAY,23,TRAIN,CC23,65,44
2020-04,WEEKDAY,22,TRAIN,DT13,1214,1086
2020-04,WEEKENDS/HOLIDAY,22,TRAIN,DT13,410,485
2020-04,WEEKDAY,23,TRAIN,NE14,762,4129
2020-04,WEEKENDS/HOLIDAY,23,TRAIN,NE14,322,1820
2020-04,WEEKDAY,22,TRAIN,NS9,7200,10971
2020-04,WEEKENDS/HOLIDAY,22,TRAIN,NS9,3112,4219
2020-04,WEEKDAY,12,TRAIN,DT22,1554,1658
2020-04,WEEKENDS/HOLIDAY,12,TRAIN,DT22,705,908
2020-04,WEEKDAY,18,TRAIN,DT28,9489,6530
2020-04,WEEKENDS/HOLIDAY,18,TRAIN,DT28,1073,1108
2020-04,WEEKDAY,12,TRAIN,DT34,1071,878
2020-04,WEEKENDS/HOLIDAY,12,TRAIN,DT34,505,320
2020-04,WEEKDAY,9,TRAIN,SW7,1268,532
2020-04,WEEKENDS/HOLIDAY,9,TRAIN,SW7,530,269
2020-04,WEEKENDS/HOLIDAY,12,TRAIN,NE17-PTC,5348,5208
2020-04,WEEKDAY,12,TRAIN,NE17-PTC,12616,11972
2020-04,WEEKDAY,19,TRAIN,NE8,7843,10127
2020-04,WEEKENDS/HOLIDAY,19,TRAIN,NE8,3513,3509
2020-04,WEEKENDS/HOLIDAY,21,TRAIN,CC24,2033,289
2020-04,WEEKDAY,21,TRAIN,CC24,7204,609
2020-04,WEEKDAY,12,TRAIN,CC9,4467,4581
2020-04,WEEKENDS/HOLIDAY,12,TRAIN,EW8,3115,3644
2020-04,WEEKDAY,12,TRAIN,EW8,6570,8309
2020-04,WEEKENDS/HOLIDAY,12,TRAIN,CC9,1952,1954
2020-04,WEEKENDS/HOLIDAY,20,TRAIN,BP5,246,245
2020-04,WEEKDAY,20,TRAIN,BP5,731,887
2020-04,WEEKDAY,12,TRAIN,EW15,7232,7735
2020-04,WEEKENDS/HOLIDAY,12,TRAIN,EW15,2078,2282
2020-04,WEEKENDS/HOLIDAY,7,TRAIN,SW4,156,145
2020-04,WEEKDAY,7,TRAIN,SW4,1539,649
2020-04,WEEKDAY,22,TRAIN,DT33,1488,4975
2020-04,WEEKENDS/HOLIDAY,22,TRAIN,DT33,486,1870
2020-04,WEEKENDS/HOLIDAY,11,TRAIN,EW24-NS1,5646,10228
2020-04,WEEKDAY,11,TRAIN,EW24-NS1,14547,21715
2020-04,WEEKDAY,21,TRAIN,EW25,943,2969
2020-04,WEEKENDS/HOLIDAY,21,TRAIN,EW25,395,926
2020-04,WEEKENDS/HOLIDAY,16,TRAIN,CC2,410,240
2020-04,WEEKDAY,16,TRAIN,CC2,1484,680
2020-04,WEEKENDS/HOLIDAY,14,TRAIN,CC12,466,543
2020-04,WEEKDAY,14,TRAIN,CC12,4082,1544
2020-04,WEEKDAY,16,TRAIN,NS20,28098,7445
2020-04,WEEKENDS/HOLIDAY,16,TRAIN,NS20,4839,2601
2020-04,WEEKDAY,21,TRAIN,NS13,12512,21753
2020-04,WEEKENDS/HOLIDAY,21,TRAIN,NS13,5126,7408
2020-04,WEEKDAY,5,TRAIN,NS13,17839,2549
2020-04,WEEKENDS/HOLIDAY,5,TRAIN,NS13,3553,508
2020-04,WEEKDAY,5,TRAIN,PW6,322,4
2020-04,WEEKENDS/HOLIDAY,5,TRAIN,PW6,72,1
2020-04,WEEKDAY,13,TRAIN,CC21,2429,2450
2020-04,WEEKENDS/HOLIDAY,13,TRAIN,CC21,955,1049
2020-04,WEEKDAY,14,TRAIN,PE7,1117,1614
2020-04,WEEKENDS/HOLIDAY,14,TRAIN,PE7,534,501
2020-04,WEEKENDS/HOLIDAY,10,TRAIN,CC20,485,503
2020-04,WEEKDAY,10,TRAIN,CC20,1223,967
2020-04,WEEKDAY,16,TRAIN,NS14,7575,13490
2020-04,WEEKENDS/HOLIDAY,16,TRAIN,NS14,2672,3614
2020-04,WEEKENDS/HOLIDAY,11,TRAIN,NS15,1606,1061
2020-04,WEEKDAY,11,TRAIN,NS15,4834,3256
2020-04,WEEKENDS/HOLIDAY,5,TRAIN,EW21,148,24
2020-04,WEEKDAY,5,TRAIN,EW21,821,306
2020-04,WEEKDAY,5,TRAIN,CC22,712,332
2020-04,WEEKENDS/HOLIDAY,5,TRAIN,CC22,140,38
2020-04,WEEKENDS/HOLIDAY,11,TRAIN,BP4,279,195
2020-04,WEEKDAY,11,TRAIN,BP4,1104,584
2020-04,WEEKDAY,11,TRAIN,CE2,19,33
2020-04,WEEKDAY,11,TRAIN,NS27,574,456
2020-04,WEEKENDS/HOLIDAY,11,TRAIN,NS27,111,118
2020-04,WEEKENDS/HOLIDAY,11,TRAIN,CE2,4,5
2020-04,WEEKDAY,9,TRAIN,NS17,7930,2499
2020-04,WEEKENDS/HOLIDAY,9,TRAIN,NS17,2263,748
2020-04,WEEKENDS/HOLIDAY,9,TRAIN,CC15,1876,2394
2020-04,WEEKDAY,9,TRAIN,CC15,7092,7434
2020-04,WEEKDAY,6,TRAIN,EW10,9307,2063
2020-04,WEEKENDS/HOLIDAY,6,TRAIN,EW10,2072,528
2020-04,WEEKENDS/HOLIDAY,8,TRAIN,NS28,278,380
2020-04,WEEKDAY,8,TRAIN,NS28,674,1343
2020-04,WEEKENDS/HOLIDAY,7,TRAIN,EW33,577,1603
2020-04,WEEKDAY,7,TRAIN,EW33,1916,7022
2020-04,WEEKDAY,18,TRAIN,BP12,1027,2681
2020-04,WEEKENDS/HOLIDAY,18,TRAIN,BP12,295,279
2020-04,WEEKENDS/HOLIDAY,0,TRAIN,EW14-NS26,16,16
2020-04,WEEKDAY,0,TRAIN,EW14-NS26,65,43
2020-04,WEEKENDS/HOLIDAY,0,TRAIN,CG2,8,1
2020-04,WEEKDAY,0,TRAIN,CG2,13,6
2020-04,WEEKENDS/HOLIDAY,16,TRAIN,NE5,1028,866
2020-04,WEEKDAY,16,TRAIN,NE5,3753,1937
2020-04,WEEKENDS/HOLIDAY,11,TRAIN,NE16-STC,6050,5412
2020-04,WEEKDAY,11,TRAIN,NE16-STC,14457,12799
2020-04,WEEKENDS/HOLIDAY,13,TRAIN,EW9,2306,2267
2020-04,WEEKDAY,13,TRAIN,EW9,6541,5097
2020-04,WEEKENDS/HOLIDAY,5,TRAIN,EW15,173,30
2020-04,WEEKDAY,5,TRAIN,EW15,790,384
2020-04,WEEKENDS/HOLIDAY,18,TRAIN,NS7,1597,1742
2020-04,WEEKDAY,18,TRAIN,NS7,7817,4664
2020-04,WEEKDAY,0,TRAIN,NS15,100,269
2020-04,WEEKENDS/HOLIDAY,0,TRAIN,NS15,46,92
2020-04,WEEKDAY,15,TRAIN,NS15,8401,5570
2020-04,WEEKENDS/HOLIDAY,15,TRAIN,NS15,1975,1646
2020-04,WEEKDAY,22,TRAIN,DT7,520,219
2020-04,WEEKENDS/HOLIDAY,22,TRAIN,DT7,219,69
2020-04,WEEKENDS/HOLIDAY,15,TRAIN,PW4,49,29
2020-04,WEEKDAY,15,TRAIN,PW4,91,89
2020-04,WEEKENDS/HOLIDAY,17,TRAIN,CC6,1192,853
2020-04,WEEKDAY,17,TRAIN,CC6,3017,1804
2020-04,WEEKENDS/HOLIDAY,8,TRAIN,NE8,2052,2786
2020-04,WEEKDAY,8,TRAIN,NE8,7583,12205
2020-04,WEEKDAY,20,TRAIN,CC7,1156,2342
2020-04,WEEKENDS/HOLIDAY,20,TRAIN,CC7,499,752
2020-04,WEEKENDS/HOLIDAY,20,TRAIN,NS3,1219,2960
2020-04,WEEKDAY,20,TRAIN,NS3,3316,10322
2020-04,WEEKDAY,0,TRAIN,BP13,1,1
2020-04,WEEKENDS/HOLIDAY,10,TRAIN,SE3,466,230
2020-04,WEEKDAY,10,TRAIN,SE3,1093,531
2020-04,WEEKENDS/HOLIDAY,9,TRAIN,NE3,1461,1773
2020-04,WEEKENDS/HOLIDAY,9,TRAIN,EW16,460,689
2020-04,WEEKDAY,9,TRAIN,EW16,1747,4850
2020-04,WEEKDAY,9,TRAIN,NE3,5613,14694
2020-04,WEEKENDS/HOLIDAY,18,TRAIN,NE16-STC,5329,6421
2020-04,WEEKDAY,18,TRAIN,NE16-STC,20065,36030
2020-04,WEEKENDS/HOLIDAY,15,TRAIN,EW23,5494,4748
2020-04,WEEKDAY,15,TRAIN,EW23,17422,12975
2020-04,WEEKDAY,20,TRAIN,NE8,7079,7574
2020-04,WEEKENDS/HOLIDAY,20,TRAIN,NE8,3156,2868
2020-04,WEEKDAY,19,TRAIN,EW33,2697,2168
2020-04,WEEKENDS/HOLIDAY,19,TRAIN,EW33,522,821
2020-04,WEEKDAY,6,TRAIN,CC16,4119,2206
2020-04,WEEKENDS/HOLIDAY,6,TRAIN,CC16,718,397
2020-04,WEEKDAY,11,TRAIN,BP12,767,606
2020-04,WEEKENDS/HOLIDAY,11,TRAIN,BP12,305,292
2020-04,WEEKENDS/HOLIDAY,13,TRAIN,NE17-PTC,5476,5374
2020-04,WEEKDAY,13,TRAIN,NE17-PTC,14133,13384
2020-04,WEEKENDS/HOLIDAY,7,TRAIN,BP5,350,180
2020-04,WEEKDAY,7,TRAIN,BP5,2307,1041
2020-04,WEEKDAY,8,TRAIN,SW6,2399,921
2020-04,WEEKENDS/HOLIDAY,8,TRAIN,SW6,548,287
2020-04,WEEKDAY,16,TRAIN,EW4,4773,3673
2020-04,WEEKENDS/HOLIDAY,16,TRAIN,EW4,1538,1132
2020-04,WEEKDAY,14,TRAIN,CC2,952,1209
2020-04,WEEKENDS/HOLIDAY,14,TRAIN,CC2,309,402
2020-04,WEEKENDS/HOLIDAY,12,TRAIN,NE14,4164,3231
2020-04,WEEKDAY,12,TRAIN,NE14,9815,7812
2020-04,WEEKDAY,20,TRAIN,DT19,2529,1177
2020-04,WEEKENDS/HOLIDAY,20,TRAIN,DT19,803,407
2020-04,WEEKENDS/HOLIDAY,20,TRAIN,NE4,4567,2423
2020-04,WEEKDAY,20,TRAIN,NE4,11577,6028
2020-04,WEEKENDS/HOLIDAY,0,TRAIN,SE5,2,24
2020-04,WEEKDAY,0,TRAIN,SE5,9,55
2020-04,WEEKDAY,23,TRAIN,EW6,335,1525
2020-04,WEEKENDS/HOLIDAY,23,TRAIN,EW6,74,599
2020-04,WEEKDAY,12,TRAIN,CC4-DT15,2216,3184
2020-04,WEEKENDS/HOLIDAY,12,TRAIN,CC4-DT15,574,1143
2020-04,WEEKDAY,15,TRAIN,DT19,2537,1856
2020-04,WEEKENDS/HOLIDAY,15,TRAIN,NE4,5422,4988
2020-04,WEEKENDS/HOLIDAY,15,TRAIN,DT19,989,823
2020-04,WEEKDAY,15,TRAIN,NE4,12878,10824
2020-04,WEEKENDS/HOLIDAY,8,TRAIN,SW1,223,245
2020-04,WEEKDAY,8,TRAIN,SW1,886,3161
2020-04,WEEKDAY,9,TRAIN,NS10,21785,12337
2020-04,WEEKENDS/HOLIDAY,9,TRAIN,NS10,7050,3963
2020-04,WEEKENDS/HOLIDAY,21,TRAIN,DT35,1194,261
2020-04,WEEKDAY,21,TRAIN,DT35,3644,614
2020-04,WEEKENDS/HOLIDAY,21,TRAIN,CG1,270,134
2020-04,WEEKDAY,21,TRAIN,CG1,926,290
2020-04,WEEKDAY,13,TRAIN,NS21,6671,7832
2020-04,WEEKENDS/HOLIDAY,13,TRAIN,NS21,2243,3089
2020-04,WEEKDAY,13,TRAIN,DT11,6167,6254
2020-04,WEEKENDS/HOLIDAY,13,TRAIN,DT11,2780,2183
2020-04,WEEKENDS/HOLIDAY,7,TRAIN,CC23,380,1551
2020-04,WEEKDAY,7,TRAIN,CC23,1376,10685
2020-04,WEEKDAY,16,TRAIN,SW1,1699,573
2020-04,WEEKENDS/HOLIDAY,16,TRAIN,SW1,357,170
2020-04,WEEKENDS/HOLIDAY,20,TRAIN,NE15,803,2100
2020-04,WEEKDAY,20,TRAIN,NE15,2091,7305
2020-04,WEEKDAY,13,TRAIN,EW29,3876,4098
2020-04,WEEKENDS/HOLIDAY,13,TRAIN,EW29,1953,1551
2020-04,WEEKENDS/HOLIDAY,13,TRAIN,EW30,464,137
2020-04,WEEKDAY,13,TRAIN,EW30,686,309
2020-04,WEEKENDS/HOLIDAY,7,TRAIN,EW32,688,2916
2020-04,WEEKDAY,7,TRAIN,EW32,1865,15766
2020-04,WEEKDAY,7,TRAIN,NE14,32132,13461
2020-04,WEEKENDS/HOLIDAY,7,TRAIN,NE14,4727,2568
2020-04,WEEKDAY,13,TRAIN,SE3,1338,1173
2020-04,WEEKENDS/HOLIDAY,13,TRAIN,SE3,393,439
2020-04,WEEKDAY,20,TRAIN,EW30,3649,533
2020-04,WEEKENDS/HOLIDAY,20,TRAIN,EW30,501,253
2020-04,WEEKDAY,12,TRAIN,NS17,5259,2722
2020-04,WEEKDAY,12,TRAIN,CC15,7655,8972
2020-04,WEEKENDS/HOLIDAY,12,TRAIN,CC15,2647,3393
2020-04,WEEKENDS/HOLIDAY,12,TRAIN,NS17,2247,1054
2020-04,WEEKDAY,15,TRAIN,EW26,9676,9598
2020-04,WEEKENDS/HOLIDAY,15,TRAIN,EW26,3067,3157
2020-04,WEEKENDS/HOLIDAY,9,TRAIN,EW23,3891,4528
2020-04,WEEKDAY,9,TRAIN,EW23,12175,14840
2020-04,WEEKDAY,21,TRAIN,DT34,784,881
2020-04,WEEKENDS/HOLIDAY,21,TRAIN,DT34,175,355
2020-04,WEEKDAY,7,TRAIN,DT33,21806,7307
2020-04,WEEKENDS/HOLIDAY,7,TRAIN,DT33,2520,1300
2020-04,WEEKENDS/HOLIDAY,0,TRAIN,DT24,2,25
2020-04,WEEKDAY,0,TRAIN,DT24,7,62
2020-04,WEEKENDS/HOLIDAY,0,TRAIN,NS18,27,97
2020-04,WEEKDAY,0,TRAIN,NS18,59,237
2020-04,WEEKDAY,22,TRAIN,CC1-NE6-NS24,6352,1725
2020-04,WEEKENDS/HOLIDAY,22,TRAIN,CC1-NE6-NS24,2642,696
2020-04,WEEKENDS/HOLIDAY,21,TRAIN,EW3,1594,1717
2020-04,WEEKDAY,21,TRAIN,EW3,4232,5126
2020-04,WEEKENDS/HOLIDAY,20,TRAIN,DT5,805,831
2020-04,WEEKDAY,20,TRAIN,DT5,2287,2912
2020-04,WEEKENDS/HOLIDAY,15,TRAIN,DT22,679,853
2020-04,WEEKDAY,15,TRAIN,DT22,1572,1660
2020-04,WEEKENDS/HOLIDAY,21,TRAIN,CC27,303,96
2020-04,WEEKDAY,21,TRAIN,CC27,961,343
2020-04,WEEKDAY,15,TRAIN,SE4,1027,1511
2020-04,WEEKENDS/HOLIDAY,15,TRAIN,SE4,487,577
2020-04,WEEKDAY,19,TRAIN,PW6,221,640
2020-04,WEEKENDS/HOLIDAY,19,TRAIN,PW6,58,112
2020-04,WEEKENDS/HOLIDAY,8,TRAIN,NE10,1392,1588
2020-04,WEEKDAY,8,TRAIN,NE10,6658,9652
2020-04,WEEKENDS/HOLIDAY,19,TRAIN,EW26,3974,4584
2020-04,WEEKDAY,19,TRAIN,EW26,13344,23919
2020-04,WEEKDAY,6,TRAIN,BP3,5697,743
2020-04,WEEKENDS/HOLIDAY,6,TRAIN,BP3,907,152
2020-04,WEEKENDS/HOLIDAY,13,TRAIN,EW12,3917,4507
2020-04,WEEKDAY,13,TRAIN,EW12,8500,8592
2020-04,WEEKDAY,13,TRAIN,DT14,2956,2843
2020-04,WEEKENDS/HOLIDAY,13,TRAIN,DT14,1229,1450
2020-04,WEEKDAY,8,TRAIN,CG2,4924,10173
2020-04,WEEKENDS/HOLIDAY,8,TRAIN,CG2,1941,2363
2020-04,WEEKDAY,15,TRAIN,NS5,7911,11740
2020-04,WEEKENDS/HOLIDAY,15,TRAIN,NS5,2787,3668
2020-04,WEEKDAY,11,TRAIN,DT13,1701,2744
2020-04,WEEKENDS/HOLIDAY,11,TRAIN,DT13,673,1108
2020-04,WEEKENDS/HOLIDAY,20,TRAIN,DT27,537,802
2020-04,WEEKDAY,20,TRAIN,DT27,2335,2270
2020-04,WEEKDAY,20,TRAIN,SW3,407,1145
2020-04,WEEKENDS/HOLIDAY,20,TRAIN,SW3,174,359
2020-04,WEEKENDS/HOLIDAY,14,TRAIN,NE3,1904,1145
2020-04,WEEKENDS/HOLIDAY,14,TRAIN,EW16,636,396
2020-04,WEEKDAY,14,TRAIN,EW16,2451,2310
2020-04,WEEKDAY,14,TRAIN,NE3,7333,6710
2020-04,WEEKDAY,20,TRAIN,NE13,3923,6982
2020-04,WEEKENDS/HOLIDAY,20,TRAIN,NE13,1501,2276
2020-04,WEEKDAY,19,TRAIN,NS17,5022,5781
2020-04,WEEKDAY,19,TRAIN,CC15,8658,14953
2020-04,WEEKENDS/HOLIDAY,19,TRAIN,NS17,1532,983
2020-04,WEEKENDS/HOLIDAY,19,TRAIN,CC15,2350,2883
2020-04,WEEKDAY,23,TRAIN,CC17,47,309
2020-04,WEEKENDS/HOLIDAY,23,TRAIN,CC17,17,94
2020-04,WEEKDAY,10,TRAIN,DT18,1189,5092
2020-04,WEEKENDS/HOLIDAY,10,TRAIN,DT18,249,977
2020-04,WEEKENDS/HOLIDAY,19,TRAIN,EW23,4686,4323
2020-04,WEEKDAY,19,TRAIN,EW23,18386,19830
