YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2020-03,WEEKDAY,11,TRAIN,NS7,9205,7882
2020-03,WEEKENDS/HOLIDAY,11,TRAIN,NS7,4738,7639
2020-03,WEEKENDS/HOLIDAY,16,TRAIN,SW4,440,547
2020-03,WEEKDAY,16,TRAIN,SW4,974,1535
2020-03,WEEKDAY,10,TRAIN,CC5,1739,4021
2020-03,WEEKENDS/HOLIDAY,10,TRAIN,CC5,765,1239
2020-03,WEEKDAY,13,TRAIN,CC23,11022,12910
2020-03,WEEKENDS/HOLIDAY,13,TRAIN,CC23,1343,1432
2020-03,WEEKENDS/HOLIDAY,22,TRAIN,EW33,561,1424
2020-03,WEEKDAY,22,TRAIN,EW33,1224,1768
2020-03,WEEKENDS/HOLIDAY,14,TRAIN,CC21,3517,3409
2020-03,WEEKDAY,14,TRAIN,CC21,7441,7773
2020-03,WEEKENDS/HOLIDAY,18,TRAIN,EW24-NS1,36962,39784
2020-03,WEEKDAY,18,TRAIN,EW24-NS1,223415,163064
2020-03,WEEKDAY,7,TRAIN,NE10,24472,34098
2020-03,WEEKENDS/HOLIDAY,7,TRAIN,NE10,2834,2496
2020-03,WEEKDAY,8,TRAIN,EW22,12204,25113
2020-03,WEEKENDS/HOLIDAY,8,TRAIN,EW22,1415,1528
2020-03,WEEKENDS/HOLIDAY,14,TRAIN,CC16,2895,2405
2020-03,WEEKDAY,14,TRAIN,CC16,9490,6795
2020-03,WEEKDAY,10,TRAIN,EW11,15788,19058
2020-03,WEEKENDS/HOLIDAY,10,TRAIN,EW11,5846,6648
2020-03,WEEKENDS/HOLIDAY,6,TRAIN,CC1-NE6-NS24,1074,1979
2020-03,WEEKDAY,6,TRAIN,CC1-NE6-NS24,3754,9964
2020-03,WEEKDAY,0,TRAIN,EW19,58,291
2020-03,WEEKENDS/HOLIDAY,0,TRAIN,EW19,17,97
2020-03,WEEKDAY,10,TRAIN,CC22,6012,10701
2020-03,WEEKENDS/HOLIDAY,10,TRAIN,EW21,2118,2790
2020-03,WEEKDAY,10,TRAIN,EW21,4163,6508
2020-03,WEEKENDS/HOLIDAY,10,TRAIN,CC22,2343,2454
2020-03,WEEKDAY,8,TRAIN,CC8,16303,8195
2020-03,WEEKENDS/HOLIDAY,8,TRAIN,CC8,1978,1629
2020-03,WEEKDAY,17,TRAIN,NE7,31205,22142
2020-03,WEEKENDS/HOLIDAY,17,TRAIN,NE7,12090,13466
2020-03,WEEKDAY,17,TRAIN,DT12,11148,4500
2020-03,WEEKENDS/HOLIDAY,17,TRAIN,DT12,1487,3106
2020-03,WEEKENDS/HOLIDAY,17,TRAIN,EW33,1822,1381
2020-03,WEEKDAY,17,TRAIN,EW33,9845,3485
2020-03,WEEKENDS/HOLIDAY,22,TRAIN,NS28,361,319
2020-03,WEEKDAY,22,TRAIN,NS28,830,1094
2020-03,WEEKENDS/HOLIDAY,0,TRAIN,DT10,8,17
2020-03,WEEKDAY,0,TRAIN,DT10,24,52
2020-03,WEEKDAY,10,TRAIN,NE3,13304,17938
2020-03,WEEKDAY,10,TRAIN,EW16,3838,6110
2020-03,WEEKENDS/HOLIDAY,10,TRAIN,EW16,907,1451
2020-03,WEEKENDS/HOLIDAY,10,TRAIN,NE3,3803,3959
2020-03,WEEKDAY,9,TRAIN,CC14,8940,4383
2020-03,WEEKENDS/HOLIDAY,9,TRAIN,CC14,2396,1230
2020-03,WEEKENDS/HOLIDAY,14,TRAIN,EW27,16750,17135
2020-03,WEEKDAY,14,TRAIN,EW27,30210,36624
2020-03,WEEKENDS/HOLIDAY,0,TRAIN,NS27,9,21
2020-03,WEEKENDS/HOLIDAY,0,TRAIN,CE2,0,1
2020-03,WEEKDAY,0,TRAIN,NS27,8,31
2020-03,WEEKDAY,0,TRAIN,CE2,1,6
2020-03,WEEKDAY,18,TRAIN,DT27,31049,14300
2020-03,WEEKENDS/HOLIDAY,18,TRAIN,DT27,3374,2649
2020-03,WEEKENDS/HOLIDAY,7,TRAIN,BP10,944,514
2020-03,WEEKDAY,7,TRAIN,BP10,12127,3204
2020-03,WEEKENDS/HOLIDAY,15,TRAIN,NE10,4380,4672
2020-03,WEEKDAY,15,TRAIN,NE10,13847,12778
2020-03,WEEKDAY,18,TRAIN,EW22,16955,14631
2020-03,WEEKENDS/HOLIDAY,18,TRAIN,EW22,1840,1840
2020-03,WEEKDAY,15,TRAIN,CC25,5175,4023
2020-03,WEEKENDS/HOLIDAY,15,TRAIN,CC25,2141,1521
2020-03,WEEKENDS/HOLIDAY,12,TRAIN,DT16,113,2185
2020-03,WEEKDAY,12,TRAIN,CE1,11385,17992
2020-03,WEEKENDS/HOLIDAY,12,TRAIN,CE1,4696,8506
2020-03,WEEKDAY,12,TRAIN,DT16,249,1789
2020-03,WEEKENDS/HOLIDAY,10,TRAIN,SW6,1438,587
2020-03,WEEKDAY,10,TRAIN,SW6,3307,1371
