YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2020-05,WEEKENDS/HOLIDAY,14,TRAIN,CC16,661,631
2020-05,WEEKDAY,14,TRAIN,CC16,1178,1009
2020-05,WEEKDAY,10,TRAIN,EW11,3766,4298
2020-05,WEEKENDS/HOLIDAY,10,TRAIN,EW11,2093,1838
2020-05,WEEKDAY,6,TRAIN,NS24/NE6/CC1,2015,3324
2020-05,WEEKENDS/HOLIDAY,6,TRAIN,NS24/NE6/CC1,895,1700
2020-05,WEEKDAY,0,TRAIN,EW19,1,1
2020-05,WEEKENDS/HOLIDAY,10,TRAIN,CC22/EW21,1321,2264
2020-05,WEEKDAY,10,TRAIN,CC22/EW21,2399,3999
2020-05,WEEKDAY,8,TRAIN,CC8,1929,1278
2020-05,WEEKENDS/HOLIDAY,8,TRAIN,CC8,712,658
2020-05,WEEKENDS/HOLIDAY,17,TRAIN,NE7/DT12,3499,3813
2020-05,WEEKDAY,17,TRAIN,NE7/DT12,10888,6412
2020-05,WEEKENDS/HOLIDAY,17,TRAIN,EW33,575,190
2020-05,WEEKDAY,17,TRAIN,EW33,3449,285
2020-05,WEEKENDS/HOLIDAY,22,TRAIN,NS28,307,33
2020-05,WEEKDAY,22,TRAIN,NS28,432,71
2020-05,WEEKDAY,10,TRAIN,EW16/NE3,6230,8781
2020-05,WEEKENDS/HOLIDAY,10,TRAIN,EW16/NE3,1898,2511
2020-05,WEEKENDS/HOLIDAY,9,TRAIN,CC14,614,326
2020-05,WEEKDAY,9,TRAIN,CC14,1027,602
2020-05,WEEKDAY,14,TRAIN,EW27,9242,11567
2020-05,WEEKENDS/HOLIDAY,14,TRAIN,EW27,6117,7284
2020-05,WEEKDAY,0,TRAIN,NS27/CE2,0,4
2020-05,WEEKENDS/HOLIDAY,0,TRAIN,NS27/CE2,0,6
2020-05,WEEKENDS/HOLIDAY,18,TRAIN,DT27,747,679
2020-05,WEEKDAY,18,TRAIN,DT27,4115,1964
2020-05,WEEKDAY,11,TRAIN,NS7,808,702
2020-05,WEEKENDS/HOLIDAY,11,TRAIN,NS7,623,460
2020-05,WEEKENDS/HOLIDAY,16,TRAIN,SW4,147,218
2020-05,WEEKDAY,16,TRAIN,SW4,231,323
2020-05,WEEKENDS/HOLIDAY,10,TRAIN,CC5,239,475
